size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
s,same_costs,0.2,11,early,2,3,1,1,1/1,1.0,175,16,16.0,191.0,1.3242411670507863,0.0
s,same_costs,0.2,11,middle,2,3,1,1,1/1,1.0,176,0,0.0,176.0,1.629679915960878,0.0
s,same_costs,0.2,11,late,2,3,1,1,1/1,1.0,226,0,0.0,226.0,1.6073298749979583,0.0
s,same_costs,0.2,12,early,2,3,1,0,0/1,0.0,160,80,80.0,240.0,1.585223916918039,0.0
s,same_costs,0.2,12,middle,2,3,1,1,1/1,1.0,229,99,99.0,328.0,1.9630079999333248,-11.0
s,same_costs,0.2,12,late,2,3,1,0,0/1,0.0,160,80,80.0,240.0,1.6398306250339374,0.0
s,same_costs,0.2,13,early,2,5,3,3,3/3,1.0,286,298,298.0,584.0,2.762281500035897,-38.0
s,same_costs,0.2,13,middle,2,5,3,3,3/3,1.0,308,255,255.0,563.0,2.774403625051491,0.0
s,same_costs,0.2,13,late,2,5,3,3,3/3,1.0,330,131,131.0,461.0,2.7277783330064267,0.0
s,same_costs,0.2,14,early,2,4,2,2,2/2,1.0,280,245,245.0,525.0,2.278380083036609,0.0
s,same_costs,0.2,14,middle,2,4,2,2,2/2,1.0,207,15,15.0,222.0,1.9399723330279812,-40.0
s,same_costs,0.2,14,late,2,4,2,2,2/2,1.0,313,110,110.0,423.0,2.251777332974598,0.0
s,same_costs,0.2,15,early,2,5,3,2,2/3,0.67,299,165,165.0,464.0,6.225886250031181,0.0
s,same_costs,0.2,15,middle,2,5,3,3,3/3,1.0,351,209,209.0,560.0,3.0721865000668913,0.0
s,same_costs,0.2,15,late,2,5,3,3,3/3,1.0,369,134,134.0,503.0,2.9530487079173326,0.0
s,same_costs,0.2,16,early,2,5,3,1,1/3,0.33,204,52,52.0,256.0,5.549093417008407,-26.0
s,same_costs,0.2,16,middle,2,5,3,2,2/3,0.67,331,160,160.0,491.0,6.359350666985847,5.0
s,same_costs,0.2,16,late,2,5,3,3,3/3,1.0,355,126,126.0,481.0,2.9937778749736026,0.0
s,same_costs,0.2,17,early,2,4,2,0,0/2,0.0,143,45,45.0,188.0,3.1639030419755727,0.0
s,same_costs,0.2,17,middle,2,4,2,2,2/2,1.0,275,70,70.0,345.0,2.3129589159507304,0.0
s,same_costs,0.2,17,late,2,4,2,2,2/2,1.0,268,45,45.0,313.0,2.328515792032704,0.0
s,same_costs,0.2,18,early,2,4,2,2,2/2,1.0,170,76,76.0,246.0,1.5870200829813257,-15.0
s,same_costs,0.2,18,middle,2,4,2,2,2/2,1.0,198,87,87.0,285.0,1.7038421670440584,-5.0
s,same_costs,0.2,18,late,2,4,2,2,2/2,1.0,202,93,93.0,295.0,1.5785354169784114,-1.0
s,same_costs,0.2,19,early,2,3,1,1,1/1,1.0,229,128,128.0,357.0,2.0259017921052873,4.0
s,same_costs,0.2,19,middle,2,3,1,1,1/1,1.0,211,12,12.0,223.0,1.844099291949533,-19.0
s,same_costs,0.2,19,late,2,3,1,1,1/1,1.0,256,31,31.0,287.0,2.1156897919718176,0.0
s,same_costs,0.2,20,early,2,5,3,0,0/3,0.0,151,51,51.0,202.0,4.476418499951251,0.0
s,same_costs,0.2,20,middle,2,5,3,2,2/3,0.67,256,119,119.0,375.0,5.69588037498761,0.0
s,same_costs,0.2,20,late,2,5,3,3,3/3,1.0,337,267,267.0,604.0,2.791492792079225,0.0
s,same_costs,0.5,1,early,2,5,3,3,3/3,1.0,289,241,241.0,530.0,2.489032792043872,0.0
s,same_costs,0.5,1,middle,2,5,3,3,3/3,1.0,295,215,215.0,510.0,2.537796334014274,0.0
s,same_costs,0.5,1,late,2,5,3,3,3/3,1.0,338,92,92.0,430.0,2.6108682500198483,0.0
s,same_costs,0.5,2,early,2,5,3,3,3/3,1.0,356,357,357.0,713.0,3.4769506249576807,-42.0
s,same_costs,0.5,2,middle,2,5,3,2,2/3,0.67,314,227,227.0,541.0,6.651039249962196,10.0
s,same_costs,0.5,2,late,2,5,3,3,3/3,1.0,393,296,296.0,689.0,3.385935290949419,0.0
s,same_costs,0.5,3,early,2,3,1,1,1/1,1.0,253,182,182.0,435.0,1.9656499170232564,5.0
s,same_costs,0.5,3,middle,2,3,1,1,1/1,1.0,247,71,71.0,318.0,1.8979115000693128,-1.0
s,same_costs,0.5,3,late,2,3,1,1,1/1,1.0,248,62,62.0,310.0,1.889833375113085,0.0
s,same_costs,0.5,4,early,2,5,3,3,3/3,1.0,333,418,418.0,751.0,2.824710624990985,0.0
s,same_costs,0.5,4,middle,2,5,3,1,1/3,0.33,185,51,51.0,236.0,4.996041834005155,0.0
s,same_costs,0.5,4,late,2,5,3,3,3/3,1.0,324,133,133.0,457.0,2.6265380840050057,0.0
s,same_costs,0.5,5,early,2,3,1,0,0/1,0.0,136,22,22.0,158.0,1.4136256250785664,0.0
s,same_costs,0.5,5,middle,2,3,1,0,0/1,0.0,136,22,22.0,158.0,1.3536836249986663,0.0
s,same_costs,0.5,5,late,2,3,1,1,1/1,1.0,177,22,22.0,199.0,1.4555052499054,0.0
s,same_costs,0.5,6,early,2,3,1,1,1/1,1.0,106,5,5.0,111.0,1.269148875027895,0.0
s,same_costs,0.5,6,middle,2,3,1,1,1/1,1.0,132,0,0.0,132.0,1.275753750000149,0.0
s,same_costs,0.5,6,late,2,3,1,1,1/1,1.0,143,0,0.0,143.0,1.2936372499680149,0.0
s,same_costs,0.5,7,early,2,3,1,1,1/1,1.0,347,269,269.0,616.0,2.6287599169882014,19.0
s,same_costs,0.5,7,middle,2,3,1,1,1/1,1.0,331,146,146.0,477.0,2.3596897079842165,0.0
s,same_costs,0.5,7,late,2,3,1,1,1/1,1.0,339,83,83.0,422.0,2.3958064160542563,0.0
s,same_costs,0.5,8,early,2,5,3,2,2/3,0.67,207,203,203.0,410.0,4.263287874986418,5.0
s,same_costs,0.5,8,middle,2,5,3,2,2/3,0.67,207,96,96.0,303.0,5.861538333003409,5.0
s,same_costs,0.5,8,late,2,5,3,3,3/3,1.0,253,114,114.0,367.0,2.105698624975048,0.0
s,same_costs,0.5,9,early,2,4,2,1,1/2,0.5,191,0,0.0,191.0,3.75680504203774,0.0
s,same_costs,0.5,9,middle,2,4,2,2,2/2,1.0,236,24,24.0,260.0,2.0305795420426875,0.0
s,same_costs,0.5,9,late,2,4,2,2,2/2,1.0,259,86,86.0,345.0,2.1114312920253724,0.0
s,same_costs,0.5,10,early,2,3,1,0,0/1,0.0,122,55,55.0,177.0,1.5180312909651548,0.0
s,same_costs,0.5,10,middle,2,3,1,1,1/1,1.0,178,72,72.0,250.0,1.592337458045222,0.0
s,same_costs,0.5,10,late,2,3,1,1,1/1,1.0,197,55,55.0,252.0,1.734718666994013,0.0
s,same_costs,0.5,11,early,2,3,1,1,1/1,1.0,175,16,16.0,191.0,1.3966833329759538,0.0
s,same_costs,0.5,11,middle,2,3,1,1,1/1,1.0,176,0,0.0,176.0,1.6300508750136942,0.0
s,same_costs,0.5,11,late,2,3,1,1,1/1,1.0,226,0,0.0,226.0,1.603538791066967,0.0
s,same_costs,0.5,12,early,2,3,1,1,1/1,1.0,233,117,117.0,350.0,1.87174133292865,37.0
s,same_costs,0.5,12,middle,2,3,1,1,1/1,1.0,229,99,99.0,328.0,2.0435191659489647,-11.0
s,same_costs,0.5,12,late,2,3,1,0,0/1,0.0,160,80,80.0,240.0,1.5521451249951497,0.0
